,Grade 7,,,,,,,,,,Grade 8,,,,,,,,,,Grade 9,,,,,,,,,,Grade 10,,,,,,,,,,,,
Student Number,English,Filipino,Math,ESP,ICF,TVE,AP,Mapeh,Tec. Drawing,Science,English,Filipino,Math,ESP,ICF,TVE,AP,Mapeh,Tec. Drawing,Science,English,Filipino,Math,ESP,ICF,TVE,AP,Mapeh,Tec. Drawing,Science,English,Filipino,Math,ESP,ICF,TVE,AP,Mapeh,Tec. Drawing,Science,,,
student 1,84,85,89,89,85,83,89,84,89,89,84,85,82,81,86,84,89,82,81,82,82,86,84,85,85,95,95,85,84,89,91,88,83,86,84,85,86,82,85,84,,,
student 2,82,84,86,83,84,95,84,85,92,98,95,98,96,99,98,85,89,89,92,98,81,86,82,84,96,85,85,84,92,82,82,92,89,83,89,82,89,80,89,89,,,
student 3,90,98,95,86,92,85,86,84,82,94,95,98,92,95,98,95,85,95,87,95,92,92,85,95,95,93,94,98,95,87,88,85,95,85,89,85,95,96,96,95,,,
student 4,88,99,89,82,81,86,84,85,85,92,94,92,89,92,85,89,89,84,85,89,85,95,89,85,88,85,89,88,85,89,87,89,94,86,85,95,85,95,85,89,,,
student 5,90,92,95,93,95,95,84,95,95,88,89,88,92,98,95,98,85,98,93,98,87,94,96,85,85,95,84,85,95,96,96,94,96,82,93,84,96,82,84,85,,,
student 6,98,98,92,86,88,84,82,86,85,97,99,98,99,84,89,75,82,85,89,85,95,81,81,97,94,92,84,84,82,99,89,85,85,95,84,95,98,85,84,89,,,
student 7,97,88,98,85,86,84,85,86,82,92,93,95,99,86,86,81,84,86,85,95,94,96,98,82,95,89,86,84,85,96,97,96,98,95,92,93,95,92,84,98,,,
student 8,92,98,97,75,86,82,86,92,87,93,98,92,91,84,85,82,84,84,93,96,97,98,90,89,85,86,85,84,96,90,89,86,85,82,84,82,85,86,84,92,,,
student 9,98,85,95,84,85,85,91,89,82,84,98,94,95,85,96,84,87,88,91,95,98,93,97,95,85,94,95,95,92,98,92,94,92,91,92,97,85,95,91,98,,,
student 10,87,81,81,83,85,85,81,82,83,94,95,96,92,85,94,98,86,85,92,95,98,92,95,82,84,86,85,91,86,98,93,98,92,96,92,85,84,96,85,96,,,
student 11,82,82,85,87,88,86,86,88,83,92,84,76,80,85,80,87,80,87,83,81,90,84,87,90,83,91,87,97,85,84,83,82,79,78,80,77,79,75,78,79,,,
student 12,91,85,86,87,85,88,88,95,88,91,96,91,89,91,95,92,94,93,89,92,91,91,93,93,89,93,95,94,94,93,88,81,78,83,81,77,84,76,77,75,,,
student 13,85,85,86,88,83,81,84,86,83,85,81,82,81,76,78,82,81,84,85,81,78,78,77,79,78,76,79,83,80,91,87,83,82,87,82,78,80,79,82,75,,,
student 14,86,82,85,90,81,85,82,87,83,83,88,85,85,86,81,81,86,90,87,83,84,86,84,88,88,78,88,92,86,81,94,94,94,92,94,95,96,91,96,92,,,
student 15,84,86,86,92,81,90,88,89,83,83,92,92,86,89,90,93,93,92,88,90,84,86,91,90,89,89,95,93,89,90,84,83,81,78,81,77,80,75,81,77,,,
student 16,83,85,85,84,82,84,84,89,83,88,90,87,84,86,86,79,84,89,84,83,84,86,82,88,87,78,82,91,80,85,85,83,89,83,82,81,80,78,87,81,,,
student 17,84,87,84,87,89,85,89,91,86,88,84,83,81,87,86,87,79,92,89,84,90,80,83,82,81,77,80,90,85,81,90,82,92,91,82,83,80,83,90,88,,,
student 18,89,90,90,87,85,85,83,91,86,94,93,87,84,92,87,92,96,93,92,89,92,88,84,89,88,91,98,95,89,88,90,84,90,91,84,82,87,81,84,83,,,
student 19,88,88,88,90,83,88,88,91,83,91,92,86,85,90,92,94,91,93,91,92,93,91,92,89,88,93,95,95,92,88,86,86,90,88,86,78,83,80,87,81,,,
student 20,89,87,85,88,84,89,85,93,86,87,84,84,81,87,82,85,80,91,89,83,85,84,80,86,83,84,83,91,85,79,91,90,97,91,91,79,81,78,84,86,,,
student 21,91,87,88,84,88,86,90,89,86,85,86,88,84,86,87,86,79,89,88,88,79,85,77,80,82,83,83,90,85,84,91,92,93,93,90,90,90,89,92,90,,,
student 22,86,86,85,86,85,83,84,87,85,85,84,83,79,83,77,83,79,83,79,82,78,79,84,87,86,81,84,87,81,86,86,83,90,88,82,84,82,83,87,86,,,
student 23,88,86,86,88,82,84,84,87,82,84,84,80,80,82,77,80,78,80,78,80,76,78,80,83,83,77,80,86,78,82,83,86,87,79,84,76,78,76,86,77,,,
student 24,86,88,84,84,83,84,84,85,83,86,91,88,86,88,86,77,85,90,88,883,84,84,80,85,75,80,82,89,82,81,90,82,92,90,88,83,87,85,92,86,,,
student 25,84,84,82,86,92,97,86,92,91,85,84,84,82,80,75,79,79,81,79,80,75,84,79,87,84,75,80,84,85,82,90,9,95,91,92,92,95,92,89,87,,,
student 26,85,87,84,89,82,85,86,87,84,84,88,85,83,88,90,92,88,93,86,86,88,88,85,88,86,87,90,91,88,85,83,83,89,83,82,77,80,77,82,77,,,
student 27,85,86,82,84,85,86,86,91,82,82,95,86,88,92,90,88,90,91,91,89,87,91,90,94,89,92,94,94,92,93,91,90,91,91,85,86,86,86,89,86,,,
student 28,85,86,83,86,84,83,87,88,82,83,96,90,87,93,93,91,89,92,91,89,89,92,90,95,87,89,95,95,92,90,85,88,91,84,89,86,92,89,86,97,,,
student 29,90,90,92,93,87,82,86,93,88,89,85,83,82,81,88,76,80,88,83,79,79,86,77,82,83,77,81,92,81,81,88,82,82,82,81,79,82,80,86,79,,,
student 30,85,89,81,87,83,86,86,87,85,85,93,89,88,96,91,93,92,95,93,92,92,91,87,88,89,90,94,95,92,91,89,89,92,98,81,86,82,84,96,89,,,
student 31,89,84,84,88,81,85,90,86,83,86,85,87,90,86,87,92,82,92,84,90,82,87,87,89,89,90,91,92,88,87,85,95,87,95,92,92,85,95,95,82,,,
student 32,86,85,87,86,84,85,83,97,83,86,82,82,81,83,81,85,79,81,81,80,80,80,80,80,83,81,82,84,82,85,89,84,85,89,85,95,89,85,88,87,,,
student 33,81,84,84,88,83,84,84,85,82,84,90,84,82,87,80,83,83,82,81,82,79,80,78,81,85,81,81,86,81,82,85,98,93,98,87,94,96,85,85,89,,,
student 34,88,89,93,89,85,89,87,90,86,89,83,82,79,87,83,80,80,83,80,90,78,79,78,87,85,78,81,84,78,79,82,85,89,85,95,81,81,97,94,96,,,
student 35,83,85,84,83,82,84,84,87,82,86,85,85,83,87,80,82,84,85,80,81,86,87,79,81,86,85,87,90,87,82,84,86,85,95,94,96,98,82,95,99,,,
student 36,86,86,86,87,82,82,89,89,84,87,85,81,80,84,81,80,80,81,83,79,77,79,80,84,83,80,82,86,78,81,84,84,93,96,97,98,90,89,85,96,,,
student 37,86,85,82,87,81,87,85,91,83,85,85,81,80,81,81,80,80,81,83,79,77,79,80,84,83,80,82,80,78,81,87,88,91,95,98,93,97,95,85,90,,,
student 38,86,85,82,87,81,87,85,91,83,85,84,83,82,86,80,83,81,84,79,83,81,80,80,84,86,81,82,87,80,80,86,85,92,95,98,92,95,82,84,98,,,
student 39,87,87,85,87,81,83,84,86,80,81,83,83,76,80,75,76,78,80,76,76,78,77,75,80,75,71,75,88,79,77,80,87,83,81,90,84,87,90,83,98,,,
student 40,87,85,86,87,81,81,87,85,82,83,87,86,88,90,90,89,86,89,89,87,87,94,89,88,87,82,89,89,88,88,94,93,89,92,91,91,93,93,89,84,,,
student 41,87,91,86,91,84,88,85,93,87,96,89,83,83,87,84,92,84,85,85,83,80,85,81,89,88,88,85,88,84,86,81,84,85,81,78,78,77,79,78,93,,,
student 42,92,91,92,92,89,96,92,97,92,95,92,90,91,91,93,97,92,94,91,93,88,92,91,90,91,90,91,95,9,91,86,90,87,83,84,86,84,88,88,91,,,
student 43,86,82,85,88,81,84,90,88,81,83,87,85,85,85,84,92,82,91,83,87,76,8,78,84,84,79,80,84,79,81,93,92,88,90,84,86,91,90,89,81,,,
student 44,86,87,84,88,85,86,88,91,87,83,94,93,90,92,95,93,96,95,86,92,95,96,96,92,89,97,96,93,94,94,84,89,84,83,84,86,82,88,87,90,,,
student 45,88,88,82,86,82,86,84,90,82,80,87,85,84,88,89,88,88,93,85,85,83,88,91,92,89,89,92,89,88,89,79,92,89,84,90,80,83,82,81,85,,,
student 46,93,89,88,89,88,90,88,94,90,87,82,84,87,87,85,87,86,89,84,86,86,89,85,88,83,90,86,88,87,88,96,93,92,89,92,88,84,89,88,81,,,
student 47,87,86,83,85,81,81,84,85,82,84,86,89,87,88,84,86,87,91,85,84,82,80,78,88,81,85,85,86,83,84,91,93,91,92,93,91,92,89,88,88,,,
student 48,87,89,86,86,84,85,85,87,86,86,90,84,88,87,89,91,90,93,89,96,82,92,83,88,82,87,86,89,88,88,80,91,89,83,85,84,80,86,83,88,,,
student 49,86,84,85,88,84,80,83,85,82,91,86,81,84,85,85,85,87,90,88,82,77,77,77,85,81,78,82,83,84,80,79,89,88,88,79,85,77,80,82,79,,,
student 50,85,85,86,84,82,82,82,85,82,84,83,84,83,81,77,88,81,78,83,81,77,84,76,77,75,75,78,88,78,82,79,83,79,82,78,79,84,87,86,84,,,
student 51,83,85,87,86,83,84,85,92,85,88,90,86,85,91,87,89,89,89,90,85,89,89,81,94,87,93,95,90,85,83,78,80,78,80,76,78,80,83,83,86,,,
student 52,86,83,90,91,87,86,91,91,89,87,90,89,92,91,91,92,86,94,93,91,89,93,89,90,89,92,91,90,89,82,85,90,88,883,84,84,80,85,75,82,,,
student 53,87,84,89,91,81,86,83,85,82,82,85,80,82,82,79,86,81,87,87,80,77,76,77,81,79,78,80,81,81,81,79,81,79,80,75,84,79,87,84,81,,,
student 54,91,85,87,84,84,89,86,90,89,89,82,78,82,84,83,87,83,83,80,84,78,82,80,90,83,88,81,87,80,84,88,93,86,86,88,88,85,88,86,82,,,
student 55,75,75,75,75,75,75,75,75,75,75,97,82,81,84,80,86,83,92,86,81,86,87,83,93,88,90,84,87,86,84,90,91,91,89,87,91,90,94,89,85,,,
student 56,85,86,81,84,82,86,83,91,82,82,88,84,83,88,83,83,87,89,80,85,76,81,76,86,77,76,84,80,90,81,89,92,91,89,89,92,90,95,87,93,,,
student 57,85,86,81,90,81,90,82,97,81,82,87,84,86,84,88,84,87,90,85,84,83,84,83,86,81,81,87,85,82,90,80,88,83,79,79,86,77,82,83,90,,,
student 58,84,85,88,86,82,83,90,86,81,82,85,83,82,85,84,82,81,80,80,85,76,81,76,80,77,75,78,84,80,80,92,95,93,92,92,91,87,88,89,81,,,
student 59,87,89,89,88,91,97,88,90,90,90,90,83,84,91,92,89,88,88,87,88,85,89,82,92,88,90,93,91,85,90,82,92,84,90,82,87,87,89,89,91,,,
student 60,89,87,87,87,87,85,86,92,85,86,84,78,80,82,77,83,82,79,78,80,77,79,75,78,79,81,80,80,80,82,79,81,81,80,80,80,80,80,83,87,,,
student 61,85,85,86,84,82,82,82,85,82,84,83,84,83,81,77,88,81,78,83,81,77,84,76,77,75,75,78,85,78,82,83,82,81,82,79,80,78,81,85,85,,,
student 62,85,83,87,84,82,86,90,87,84,88,85,83,82,83,78,87,83,82,87,82,78,80,79,82,75,83,78,84,78,84,80,83,80,90,78,79,78,87,85,82,,,
student 63,94,96,94,95,92,97,93,99,92,96,91,96,93,96,90,94,94,94,92,94,95,96,91,96,92,93,97,96,93,94,84,85,80,81,86,87,79,81,86,79,,,
student 64,84,85,87,90,82,86,93,85,83,84,86,78,81,85,80,84,83,81,78,81,77,80,75,81,77,78,79,79,80,80,80,81,83,79,77,79,80,84,83,82,,,
student 65,86,85,83,89,81,85,84,89,84,84,84,81,80,84,78,85,83,89,83,82,81,80,78,87,81,85,83,83,81,85,80,81,83,79,77,79,80,84,83,81,,,
student 66,86,87,90,93,88,87,86,93,89,85,87,82,84,84,86,90,82,92,91,82,83,80,83,90,88,90,81,85,85,99,81,84,79,83,81,80,80,84,86,81,,,
student 67,87,89,88,88,84,80,86,90,85,93,89,85,81,87,87,90,84,90,91,84,82,87,81,84,83,81,84,86,83,83,78,80,76,76,78,77,75,80,75,80,,,
student 68,89,75,75,75,81,78,84,77,75,75,88,86,86,82,85,86,86,90,88,86,78,83,80,87,81,76,82,83,85,81,86,89,89,87,87,94,89,88,87,77,,,
student 69,92,91,90,97,80,97,96,92,85,92,86,91,90,93,87,91,90,97,91,91,79,81,78,84,86,86,83,84,79,83,84,85,85,83,80,85,81,89,88,88,,,
student 70,85,89,88,87,81,89,87,90,83,93,88,89,90,92,90,91,92,93,93,90,90,90,89,92,90,95,90,91,90,91,92,94,91,93,88,92,91,90,91,86,,,
student 71,86,88,87,89,82,91,90,91,83,86,85,82,81,85,87,86,83,90,88,82,84,82,83,87,86,89,84,89,84,82,82,91,83,87,76,8,78,84,84,91,,,
student 72,87,85,85,85,86,82,88,88,85,84,86,85,82,82,77,83,86,87,79,84,76,78,76,86,77,82,81,85,84,82,96,95,86,92,95,96,96,92,89,81,,,
student 73,92,88,88,90,86,89,87,90,88,87,90,85,87,81,91,90,82,92,90,88,83,87,85,92,86,89,88,89,87,83,88,93,85,85,83,88,91,92,89,94,,,
student 74,90,88,92,90,83,90,86,95,84,86,92,90,91,90,93,90,9,95,91,92,92,95,92,89,87,91,94,90,91,86,86,89,84,86,86,89,85,88,83,89,,,
student 75,91,88,90,91,83,84,91,95,83,85,86,82,81,82,80,83,83,89,83,82,77,80,77,82,77,75,78,83,80,81,87,91,85,84,82,80,78,88,81,88,,,
student 76,87,85,83,88,84,86,87,86,87,88,89,84,84,89,89,91,90,91,91,85,86,86,86,89,86,87,85,90,86,87,90,93,89,96,82,92,83,88,82,84,,,
student 77,88,92,90,89,82,90,92,91,90,91,88,84,90,84,90,85,88,91,84,89,86,92,89,86,97,92,81,90,87,85,87,90,88,82,77,77,77,85,81,88,,,
student 78,80,80,80,80,80,80,80,80,80,80,86,81,8,81,79,88,82,82,82,81,79,82,80,86,79,81,80,87,80,82,81,78,83,81,77,84,76,77,75,80,,,
student 79,84,87,83,87,86,85,84,91,85,85,94,95,95,93,94,95,94,93,94,92,84,87,83,87,86,85,84,91,85,85,89,89,90,85,89,89,81,94,87,82,,,
student 80,89,87,86,87,84,87,86,87,84,86,88,82,82,86,84,88,83,90,85,82,87,85,83,86,88,89,85,87,81,87,86,94,93,91,89,93,89,90,89,83,,,
student 81,79,85,77,80,82,83,83,90,85,84,84,76,80,85,80,87,80,87,83,81,84,85,89,89,85,83,89,84,89,89,79,85,77,80,82,83,83,90,85,84,,,
student 82,78,79,84,87,86,81,84,87,81,86,96,91,89,91,95,92,94,93,89,92,82,84,86,83,84,95,84,85,92,98,78,79,84,87,86,81,84,87,81,86,,,
student 83,76,78,80,83,83,77,80,86,78,82,81,82,81,76,78,82,81,84,85,81,90,98,95,86,92,85,86,84,82,94,76,78,80,83,83,77,80,86,78,82,,,
student 84,84,84,80,85,75,80,82,89,82,81,88,85,85,86,81,81,86,90,87,83,88,99,89,82,81,86,84,85,85,92,84,84,80,85,75,80,82,89,82,81,,,
student 85,75,84,79,87,84,75,80,84,85,82,92,92,86,89,90,93,93,92,88,90,90,92,95,93,95,95,84,95,95,88,75,84,79,87,84,75,80,84,85,82,,,
student 86,88,88,85,88,86,87,90,91,88,85,90,87,84,86,86,79,84,89,84,83,98,98,92,86,88,84,82,86,85,97,88,88,85,88,86,87,90,91,88,85,,,
student 87,87,91,90,94,89,92,94,94,92,93,84,83,81,87,86,87,79,92,89,84,97,88,98,85,86,84,85,86,82,92,87,91,90,94,89,92,94,94,92,93,,,
student 88,89,92,90,95,87,89,95,95,92,90,93,87,84,92,87,92,96,93,92,89,92,98,97,75,86,82,86,92,87,93,89,92,90,95,87,89,95,95,92,90,,,
student 89,79,86,77,82,83,77,81,92,81,81,92,86,85,90,92,94,91,93,91,92,98,85,95,84,85,85,91,89,82,84,79,86,77,82,83,77,81,92,81,81,,,
student 90,92,91,87,88,89,90,94,95,92,91,84,84,81,87,82,85,80,91,89,83,87,81,81,83,85,85,81,82,83,94,92,91,87,88,89,90,94,95,92,91,,,
student 91,91,88,83,86,84,85,86,82,85,84,86,88,84,86,87,86,79,89,88,88,82,82,85,87,88,86,86,88,83,92,91,88,83,86,84,85,86,82,85,84,,,
student 92,82,92,89,83,89,82,89,80,89,89,84,83,79,83,77,83,79,83,79,82,91,85,86,87,85,88,88,95,88,91,82,92,89,83,89,82,89,80,89,89,,,
student 93,88,85,95,85,89,85,95,96,96,95,84,80,80,82,77,80,78,80,78,80,85,85,86,88,83,81,84,86,83,85,88,85,95,85,89,85,95,96,96,95,,,
student 94,87,89,94,86,85,95,85,95,85,89,91,88,86,88,86,77,85,90,88,83,86,82,85,90,81,85,82,87,83,83,87,89,94,86,85,95,85,95,85,89,,,
student 95,96,94,96,82,93,84,96,82,84,85,84,84,82,80,75,79,79,81,79,80,84,86,86,92,81,90,88,89,83,83,96,94,96,82,93,84,96,82,84,85,,,
student 96,89,85,85,95,84,95,98,85,84,89,88,85,83,88,90,92,88,93,86,86,83,85,85,84,82,84,84,89,83,88,89,85,85,95,84,95,98,85,84,89,,,
student 97,97,96,98,95,92,93,95,92,84,98,95,86,88,92,90,88,90,91,91,89,84,87,84,87,89,85,89,91,86,88,97,96,98,95,92,93,95,92,84,98,,,
student 98,89,86,85,82,84,82,85,86,84,92,96,90,87,93,93,91,89,92,91,89,89,90,90,87,85,85,83,91,86,94,89,86,85,82,84,82,85,86,84,92,,,
student 99,92,94,92,91,92,97,85,95,91,98,85,83,82,81,88,76,80,88,83,79,88,88,88,90,83,88,88,91,83,91,92,94,92,91,92,97,85,95,91,98,,,
student 100,93,98,92,96,92,85,84,96,85,96,93,89,88,96,91,93,92,95,93,92,89,87,85,88,84,89,85,93,86,87,93,98,92,96,92,85,84,96,85,96,,,
student 101,83,82,79,78,80,77,79,75,78,79,82,86,84,85,85,95,95,85,84,89,91,87,88,84,88,86,90,89,86,85,83,82,79,78,80,77,79,75,78,79,,,
student 102,88,81,78,83,81,77,84,76,77,75,81,86,82,84,96,85,85,84,92,82,86,86,85,86,85,83,84,87,85,85,88,81,78,83,81,77,84,76,77,75,,,
student 103,87,83,82,87,82,78,80,79,82,75,92,92,85,95,95,93,94,98,95,87,88,86,86,88,82,84,84,87,82,84,87,83,82,87,82,78,80,79,82,75,,,
student 104,94,94,94,92,94,95,96,91,96,92,85,95,89,85,88,85,89,88,85,89,86,88,84,84,83,84,84,85,83,86,94,94,94,92,94,95,96,91,96,92,,,
student 105,84,83,81,78,81,77,80,75,81,77,87,94,96,85,85,95,84,85,95,96,84,84,82,86,92,97,86,92,91,85,84,83,81,78,81,77,80,75,81,77,,,
student 106,85,83,89,83,82,81,80,78,87,81,95,81,81,97,94,92,84,84,82,99,85,87,84,89,82,85,86,87,84,84,85,83,89,83,82,81,80,78,87,81,,,
student 107,90,82,92,91,82,83,80,83,90,88,94,96,98,82,95,89,86,84,85,96,85,86,82,84,85,86,86,91,82,82,90,82,92,91,82,83,80,83,90,88,,,
student 108,90,84,90,91,84,82,87,81,84,83,97,98,90,89,85,86,85,84,96,90,85,86,83,86,84,83,87,88,82,83,90,84,90,91,84,82,87,81,84,83,,,
student 109,86,86,90,88,86,78,83,80,87,81,98,93,97,95,85,94,95,95,92,98,90,90,92,93,87,82,86,93,88,89,86,86,90,88,86,78,83,80,87,81,,,
student 110,91,90,97,91,91,79,81,78,84,86,98,92,95,82,84,86,85,91,86,98,85,89,81,87,83,86,86,87,85,85,91,90,97,91,91,79,81,78,84,86,,,
student 111,91,92,93,93,90,90,90,89,92,90,90,84,87,90,83,91,87,97,85,84,84,85,82,81,86,84,89,82,81,82,91,92,93,93,90,90,90,89,92,90,,,
student 112,86,83,90,88,82,84,82,83,87,86,91,91,93,93,89,93,95,94,94,93,95,98,96,99,98,85,89,89,92,98,86,83,90,88,82,84,82,83,87,86,,,
student 113,83,86,87,79,84,76,78,76,86,77,78,78,77,79,78,76,79,83,80,91,95,98,92,95,98,95,85,95,87,95,83,86,87,79,84,76,78,76,86,77,,,
student 114,90,82,92,90,88,83,87,85,92,86,84,86,84,88,88,78,88,92,86,81,94,92,89,92,85,89,89,84,85,89,90,82,92,90,88,83,87,85,92,86,,,
student 115,90,9,95,91,92,92,95,92,89,87,84,86,91,90,89,89,95,93,89,90,89,88,92,98,95,98,85,98,93,98,90,9,95,91,92,92,95,92,89,87,,,
student 116,83,83,89,83,82,77,80,77,82,77,84,86,82,88,87,78,82,91,80,85,99,98,99,84,89,75,82,85,89,85,83,83,89,83,82,77,80,77,82,77,,,
student 117,91,90,91,91,85,86,86,86,89,86,90,80,83,82,81,77,80,90,85,81,93,95,99,86,86,81,84,86,85,95,91,90,91,91,85,86,86,86,89,86,,,
student 118,85,88,91,84,89,86,92,89,86,97,92,88,84,89,88,91,98,95,89,88,98,92,91,84,85,82,84,84,93,96,85,88,91,84,89,86,92,89,86,97,,,
student 119,88,82,82,82,81,79,82,80,86,79,93,91,92,89,88,93,95,95,92,2,98,94,95,85,96,84,87,88,91,95,88,82,82,82,81,79,82,80,86,79,,,
student 120,89,89,92,98,81,86,82,84,96,89,85,84,80,86,83,84,83,91,85,79,95,96,92,85,94,98,86,85,92,95,89,89,92,98,81,86,82,84,96,89,,,
